PlateID,Row,Column,Organism,Species,Genotype,Tissue,Comments
75,A,1,Cucumber,Cucumis sativus,P75A01,leaf,WI7864_F2_001
75,B,1,Cucumber,Cucumis sativus,P75B01,leaf,WI7864_F2_031
75,C,1,Cucumber,Cucumis sativus,P75C01,leaf,WI7864_F2_051
75,D,1,Cucumber,Cucumis sativus,P75D01,leaf,WI7864_F2_074
75,E,1,Cucumber,Cucumis sativus,P75E01,leaf,WI7864_F2_114
75,F,1,Cucumber,Cucumis sativus,P75F01,leaf,WI7864_F2_136
75,G,1,Cucumber,Cucumis sativus,P75G01,leaf,WI7864_F2_163
75,H,1,Cucumber,Cucumis sativus,P75H01,leaf,WI7864_F2_186
75,A,2,Cucumber,Cucumis sativus,P75A02,leaf,WI7864_F2_003
75,B,2,Cucumber,Cucumis sativus,P75B02,leaf,WI7864_F2_032
75,C,2,Cucumber,Cucumis sativus,P75C02,leaf,WI7864_F2_054
75,D,2,Cucumber,Cucumis sativus,P75D02,leaf,WI7864_F2_075
75,E,2,Cucumber,Cucumis sativus,P75E02,leaf,WI7864_F2_116
75,F,2,Cucumber,Cucumis sativus,P75F02,leaf,WI7864_F2_140
75,G,2,Cucumber,Cucumis sativus,P75G02,leaf,WI7864_F2_164
75,H,2,Cucumber,Cucumis sativus,P75H02,leaf,WI7864_F2_187
75,A,3,Cucumber,Cucumis sativus,P75A03,leaf,WI7864_F2_005
75,B,3,Cucumber,Cucumis sativus,P75B03,leaf,WI7864_F2_036
75,C,3,Cucumber,Cucumis sativus,P75C03,leaf,WI7864_F2_056
75,D,3,Cucumber,Cucumis sativus,P75D03,leaf,WI7864_F2_078
75,E,3,Cucumber,Cucumis sativus,P75E03,leaf,WI7864_F2_118
75,F,3,Cucumber,Cucumis sativus,P75F03,leaf,WI7864_F2_141
75,G,3,Cucumber,Cucumis sativus,P75G03,leaf,WI7864_F2_165
75,H,3,Cucumber,Cucumis sativus,P75H03,leaf,WI7864_F2_188
75,A,4,Cucumber,Cucumis sativus,P75A04,leaf,WI7864_F2_011
75,B,4,Cucumber,Cucumis sativus,P75B04,leaf,WI7864_F2_037
75,C,4,Cucumber,Cucumis sativus,P75C04,leaf,WI7864_F2_058
75,D,4,Cucumber,Cucumis sativus,P75D04,leaf,WI7864_F2_079
75,E,4,Cucumber,Cucumis sativus,P75E04,leaf,WI7864_F2_120
75,F,4,Cucumber,Cucumis sativus,P75F04,leaf,WI7864_F2_143
75,G,4,Cucumber,Cucumis sativus,P75G04,leaf,WI7864_F2_170
75,H,4,Cucumber,Cucumis sativus,P75H04,leaf,WI7864_F2_191
75,A,5,Cucumber,Cucumis sativus,P75A05,leaf,WI7864_F2_012
75,B,5,Cucumber,Cucumis sativus,P75B05,leaf,WI7864_F2_019
75,C,5,Cucumber,Cucumis sativus,P75C05,leaf,WI7864_F2_060
75,D,5,Cucumber,Cucumis sativus,P75D05,leaf,WI7864_F2_080
75,E,5,Cucumber,Cucumis sativus,P75E05,leaf,WI7864_F2_121
75,F,5,Cucumber,Cucumis sativus,P75F05,leaf,WI7864_F2_144
75,G,5,Cucumber,Cucumis sativus,P75G05,leaf,WI7864_F2_171
75,H,5,Cucumber,Cucumis sativus,P75H05,leaf,WI7864_F2_192
75,A,6,Cucumber,Cucumis sativus,P75A06,leaf,WI7864_F2_013
75,B,6,Cucumber,Cucumis sativus,P75B06,leaf,WI7864_F2_040
75,C,6,Cucumber,Cucumis sativus,P75C06,leaf,WI7864_F2_061
75,D,6,Cucumber,Cucumis sativus,P75D06,leaf,WI7864_F2_084
75,E,6,Cucumber,Cucumis sativus,P75E06,leaf,WI7864_F2_125
75,F,6,Cucumber,Cucumis sativus,P75F06,leaf,WI7864_F2_147
75,G,6,Cucumber,Cucumis sativus,P75G06,leaf,WI7864_F2_175
75,H,6,Cucumber,Cucumis sativus,P75H06,leaf,WI7864_F2_193
75,A,7,Cucumber,Cucumis sativus,P75A07,leaf,WI7864_F2_016
