PlateID,Row,Column,Organism,Species,Genotype,Tissue,Comments,P1,P2,Field,Weather,Breeder,Flower
75,A,1,Cucumber,Cucumis sativus,P75A01,leaf,WI7864_F2_001,Sire1,Dam1,Field324,Sunny,Josue,Yellow
75,B,1,Cucumber,Cucumis sativus,P75B01,leaf,WI7864_F2_031,Sire2,Dam2,Field325,Sunny,Josue,Green
75,C,1,Cucumber,Cucumis sativus,P75C01,leaf,WI7864_F2_051,Sire3,Dam3,Field326,Sunny,Josue,Blue
75,D,1,Cucumber,Cucumis sativus,P75D01,leaf,WI7864_F2_074,Sire4,Dam4,Field327,Sunny,Josue,Yellow
75,E,1,Cucumber,Cucumis sativus,P75E01,leaf,WI7864_F2_114,Sire5,Dam5,Field328,Sunny,Josue,Green
75,F,1,Cucumber,Cucumis sativus,P75F01,leaf,WI7864_F2_136,Sire6,Dam6,Field329,Sunny,Josue,Blue
75,G,1,Cucumber,Cucumis sativus,P75G01,leaf,WI7864_F2_163,Sire7,Dam7,Field330,Sunny,Josue,Yellow
75,H,1,Cucumber,Cucumis sativus,P75H01,leaf,WI7864_F2_186,Sire8,Dam8,Field331,Sunny,Josue,Green
75,A,2,Cucumber,Cucumis sativus,P75A02,leaf,WI7864_F2_003,Sire9,Dam9,Field332,Sunny,Josue,Blue
75,B,2,Cucumber,Cucumis sativus,P75B02,leaf,WI7864_F2_032,Sire10,Dam10,Field333,Sunny,Josue,Yellow
75,C,2,Cucumber,Cucumis sativus,P75C02,leaf,WI7864_F2_054,Sire11,Dam11,Field334,Sunny,Josue,Green
75,D,2,Cucumber,Cucumis sativus,P75D02,leaf,WI7864_F2_075,Sire12,Dam12,Field335,Sunny,Josue,Blue
75,E,2,Cucumber,Cucumis sativus,P75E02,leaf,WI7864_F2_116,Sire13,Dam13,Field336,Sunny,Josue,Yellow
75,F,2,Cucumber,Cucumis sativus,P75F02,leaf,WI7864_F2_140,Sire14,Dam14,Field337,Sunny,Josue,Green
75,G,2,Cucumber,Cucumis sativus,P75G02,leaf,WI7864_F2_164,Sire15,Dam15,Field338,Sunny,Josue,Blue
75,H,2,Cucumber,Cucumis sativus,P75H02,leaf,WI7864_F2_187,Sire16,Dam16,Field339,Sunny,Josue,Yellow
75,A,3,Cucumber,Cucumis sativus,P75A03,leaf,WI7864_F2_005,Sire17,Dam17,Field340,Sunny,Josue,Green
75,B,3,Cucumber,Cucumis sativus,P75B03,leaf,WI7864_F2_036,Sire18,Dam18,Field341,Sunny,Josue,Blue
75,C,3,Cucumber,Cucumis sativus,P75C03,leaf,WI7864_F2_056,Sire19,Dam19,Field342,Sunny,Josue,Yellow
75,D,3,Cucumber,Cucumis sativus,P75D03,leaf,WI7864_F2_078,Sire20,Dam20,Field343,Sunny,Josue,Green
75,E,3,Cucumber,Cucumis sativus,P75E03,leaf,WI7864_F2_118,Sire21,Dam21,Field344,Sunny,Josue,Blue
75,F,3,Cucumber,Cucumis sativus,P75F03,leaf,WI7864_F2_141,Sire22,Dam22,Field345,Sunny,Josue,Yellow
75,G,3,Cucumber,Cucumis sativus,P75G03,leaf,WI7864_F2_165,Sire23,Dam23,Field346,Sunny,Josue,Green
75,H,3,Cucumber,Cucumis sativus,P75H03,leaf,WI7864_F2_188,Sire24,Dam24,Field347,Sunny,Josue,Blue
75,A,4,Cucumber,Cucumis sativus,P75A04,leaf,WI7864_F2_011,Sire25,Dam25,Field348,Sunny,Josue,Yellow
75,B,4,Cucumber,Cucumis sativus,P75B04,leaf,WI7864_F2_037,Sire26,Dam26,Field349,Sunny,Josue,Green
75,C,4,Cucumber,Cucumis sativus,P75C04,leaf,WI7864_F2_058,Sire27,Dam27,Field350,Sunny,Josue,Blue
75,D,4,Cucumber,Cucumis sativus,P75D04,leaf,WI7864_F2_079,Sire28,Dam28,Field351,Sunny,Josue,Yellow
75,E,4,Cucumber,Cucumis sativus,P75E04,leaf,WI7864_F2_120,Sire29,Dam29,Field352,Sunny,Josue,Green
75,F,4,Cucumber,Cucumis sativus,P75F04,leaf,WI7864_F2_143,Sire30,Dam30,Field353,Sunny,Josue,Blue
75,G,4,Cucumber,Cucumis sativus,P75G04,leaf,WI7864_F2_170,Sire31,Dam31,Field354,Sunny,Josue,Yellow
75,H,4,Cucumber,Cucumis sativus,P75H04,leaf,WI7864_F2_191,Sire32,Dam32,Field355,Sunny,Josue,Green
75,A,5,Cucumber,Cucumis sativus,P75A05,leaf,WI7864_F2_012,Sire33,Dam33,Field356,Sunny,Josue,Blue
75,B,5,Cucumber,Cucumis sativus,P75B05,leaf,WI7864_F2_019,Sire34,Dam34,Field357,Sunny,Josue,Yellow
75,C,5,Cucumber,Cucumis sativus,P75C05,leaf,WI7864_F2_060,Sire35,Dam35,Field358,Sunny,Josue,Green
75,D,5,Cucumber,Cucumis sativus,P75D05,leaf,WI7864_F2_080,Sire36,Dam36,Field359,Sunny,Josue,Blue
75,E,5,Cucumber,Cucumis sativus,P75E05,leaf,WI7864_F2_121,Sire37,Dam37,Field360,Sunny,Josue,Yellow
75,F,5,Cucumber,Cucumis sativus,P75F05,leaf,WI7864_F2_144,Sire38,Dam38,Field361,Sunny,Josue,Green
75,G,5,Cucumber,Cucumis sativus,P75G05,leaf,WI7864_F2_171,Sire39,Dam39,Field362,Sunny,Josue,Blue
75,H,5,Cucumber,Cucumis sativus,P75H05,leaf,WI7864_F2_192,Sire40,Dam40,Field363,Sunny,Josue,Yellow
75,A,6,Cucumber,Cucumis sativus,P75A06,leaf,WI7864_F2_013,Sire41,Dam41,Field364,Sunny,Josue,Green
75,B,6,Cucumber,Cucumis sativus,P75B06,leaf,WI7864_F2_040,Sire42,Dam42,Field365,Sunny,Josue,Blue
75,C,6,Cucumber,Cucumis sativus,P75C06,leaf,WI7864_F2_061,Sire43,Dam43,Field366,Sunny,Josue,Yellow
75,D,6,Cucumber,Cucumis sativus,P75D06,leaf,WI7864_F2_084,Sire44,Dam44,Field367,Sunny,Josue,Green
75,E,6,Cucumber,Cucumis sativus,P75E06,leaf,WI7864_F2_125,Sire45,Dam45,Field368,Sunny,Josue,Blue
75,F,6,Cucumber,Cucumis sativus,P75F06,leaf,WI7864_F2_147,Sire46,Dam46,Field369,Sunny,Josue,Yellow
75,G,6,Cucumber,Cucumis sativus,P75G06,leaf,WI7864_F2_175,Sire47,Dam47,Farm1,Sunny,Josue,Green
75,H,6,Cucumber,Cucumis sativus,P75H06,leaf,WI7864_F2_193,Sire48,Dam48,Farm2,Sunny,Josue,Blue
75,A,7,Cucumber,Cucumis sativus,P75A07,leaf,WI7864_F2_016,Sire49,Dam49,Farm3,Sunny,Josue,Yellow
75,B,7,Cucumber,Cucumis sativus,P75B07,leaf,WI7864_F2_041,Sire50,Dam50,Farm4,Sunny,Josue,Green
75,C,7,Cucumber,Cucumis sativus,P75C07,leaf,WI7864_F2_062,Sire51,Dam51,Farm5,Sunny,Josue,Blue
75,D,7,Cucumber,Cucumis sativus,P75D07,leaf,WI7864_F2_085,Sire52,Dam52,Farm6,Sunny,Josue,Yellow
75,E,7,Cucumber,Cucumis sativus,P75E07,leaf,WI7864_F2_126,Sire53,Dam53,Farm7,Sunny,Josue,Green
75,F,7,Cucumber,Cucumis sativus,P75F07,leaf,WI7864_F2_150,Sire54,Dam54,Farm8,Sunny,Josue,Blue
75,G,7,Cucumber,Cucumis sativus,P75G07,leaf,WI7864_F2_177,Sire55,Dam55,Farm9,Sunny,Josue,Yellow
75,H,7,Cucumber,Cucumis sativus,P75H07,leaf,WI7864_F2_194,Sire56,Dam56,Farm10,Sunny,Josue,Green
75,A,8,Cucumber,Cucumis sativus,P75A08,leaf,WI7864_F2_021,Sire57,Dam57,Farm11,Sunny,Josue,Blue
75,B,8,Cucumber,Cucumis sativus,P75B08,leaf,WI7864_F2_042,Sire58,Dam58,Farm12,Sunny,Josue,Yellow
75,C,8,Cucumber,Cucumis sativus,P75C08,leaf,WI7864_F2_063,Sire59,Dam59,Farm13,Sunny,Josue,Green
75,D,8,Cucumber,Cucumis sativus,P75D08,leaf,WI7864_F2_086,Sire60,Dam60,Farm14,Sunny,Josue,Blue
75,E,8,Cucumber,Cucumis sativus,P75E08,leaf,WI7864_F2_127,Sire61,Dam61,Farm15,Sunny,Josue,Yellow
75,F,8,Cucumber,Cucumis sativus,P75F08,leaf,WI7864_F2_152,Sire62,Dam62,Farm16,Sunny,Josue,Green
75,G,8,Cucumber,Cucumis sativus,P75G08,leaf,WI7864_F2_180,Sire63,Dam63,Farm17,Sunny,Josue,Blue
75,H,8,Cucumber,Cucumis sativus,P75H08,leaf,WI7864_F2_195,Sire64,Dam64,Farm18,Sunny,Josue,Yellow
75,A,9,Cucumber,Cucumis sativus,P75A09,leaf,WI7864_F2_023,Sire65,Dam65,Farm19,Sunny,Josue,Green
75,B,9,Cucumber,Cucumis sativus,P75B09,leaf,WI7864_F2_044,Sire66,Dam66,Farm20,Sunny,Josue,Blue
75,C,9,Cucumber,Cucumis sativus,P75C09,leaf,WI7864_F2_066,Sire67,Dam67,Farm21,Sunny,Josue,Yellow
75,D,9,Cucumber,Cucumis sativus,P75D09,leaf,WI7864_F2_095,Sire68,Dam68,Farm22,Sunny,Josue,Green
75,E,9,Cucumber,Cucumis sativus,P75E09,leaf,WI7864_F2_129,Sire69,Dam69,Farm23,Sunny,Josue,Blue
75,F,9,Cucumber,Cucumis sativus,P75F09,leaf,WI7864_F2_154,Sire70,Dam70,Farm24,Sunny,Josue,Yellow
75,G,9,Cucumber,Cucumis sativus,P75G09,leaf,WI7864_F2_183,Sire71,Dam71,Farm25,Sunny,Josue,Green
75,H,9,Cucumber,Cucumis sativus,P75H09,leaf,703,Sire72,Dam72,Farm26,Sunny,Josue,Blue
75,A,10,Cucumber,Cucumis sativus,P75A10,leaf,WI7864_F2_025,Sire73,Dam73,Farm27,Sunny,Josue,Yellow
75,B,10,Cucumber,Cucumis sativus,P75B010,leaf,WI7864_F2_045,Sire74,Dam74,Farm28,Sunny,Josue,Green
75,C,10,Cucumber,Cucumis sativus,P75C010,leaf,WI7864_F2_068,Sire75,Dam75,Farm29,Sunny,Josue,Blue
75,D,10,Cucumber,Cucumis sativus,P75D010,leaf,WI7864_F2_105,Sire76,Dam76,Farm30,Sunny,Josue,Yellow
75,E,10,Cucumber,Cucumis sativus,P75E010,leaf,WI7864_F2_130,Sire77,Dam77,Farm31,Sunny,Josue,Green
75,F,10,Cucumber,Cucumis sativus,P75F010,leaf,WI7864_F2_155,Sire78,Dam78,Farm32,Sunny,Josue,Blue
75,G,10,Cucumber,Cucumis sativus,P75G010,leaf,WI7864_F2_184,Sire79,Dam79,Farm33,Sunny,Josue,Yellow
75,H,10,Cucumber,Cucumis sativus,P75H010,leaf,9930,Sire80,Dam80,Farm34,Sunny,Josue,Green
75,A,11,Cucumber,Cucumis sativus,P75A11,leaf,WI7864_F2_028,Sire81,Dam81,Farm35,Sunny,Josue,Blue
75,B,11,Cucumber,Cucumis sativus,P75B011,leaf,WI7864_F2_046,Sire82,Dam82,Farm36,Sunny,Josue,Yellow
75,C,11,Cucumber,Cucumis sativus,P75C011,leaf,WI7864_F2_071,Sire83,Dam83,Farm37,Sunny,Josue,Green
75,D,11,Cucumber,Cucumis sativus,P75D011,leaf,WI7864_F2_112,Sire84,Dam84,Farm38,Sunny,Josue,Blue
75,E,11,Cucumber,Cucumis sativus,P75E011,leaf,WI7864_F2_134,Sire85,Dam85,Farm39,Sunny,Josue,Yellow
75,F,11,Cucumber,Cucumis sativus,P75F011,leaf,WI7864_F2_156,Sire86,Dam86,Farm40,Sunny,Josue,Green
75,G,11,Cucumber,Cucumis sativus,P75G011,leaf,WI7864_F2_185,Sire87,Dam87,Farm41,Sunny,Josue,Blue
75,H,11,Cucumber,Cucumis sativus,P75H011,leaf,703x9930 F1,Sire88,Dam88,Farm42,Sunny,Josue,Yellow
75,A,12,Cucumber,Cucumis sativus,P75A12,leaf,WI7864_F2_030,Sire89,Dam89,Farm43,Sunny,Josue,Green
75,B,12,Cucumber,Cucumis sativus,P75B012,leaf,WI7864_F2_048,Sire90,Dam90,Farm44,Sunny,Josue,Blue
75,C,12,Cucumber,Cucumis sativus,P75C012,leaf,WI7864_F2_073,Sire91,Dam91,Farm45,Sunny,Josue,Yellow
75,D,12,Cucumber,Cucumis sativus,P75D012,leaf,WI7864_F2_113,Sire92,Dam92,Farm46,Sunny,Josue,Green
75,E,12,Cucumber,Cucumis sativus,P75E012,leaf,WI7864_F2_135,Sire93,Dam93,Farm47,Sunny,Josue,Blue
75,F,12,Cucumber,Cucumis sativus,P75F012,leaf,WI7864_F2_157,Sire94,Dam94,Farm48,Sunny,Josue,Yellow
76,A,1,Cucumber,Cucumis sativus,P76A01,leaf,9930,Sire95,Dam95,Farm49,Sunny,Josue,Green
76,B,1,Cucumber,Cucumis sativus,P76B01,leaf,WI7769_F2:3_025,Sire96,Dam96,Farm50,Sunny,Josue,Blue
76,C,1,Cucumber,Cucumis sativus,P76C01,leaf,WI7769_F2:3_045,Sire97,Dam97,Farm51,Sunny,Josue,Yellow
76,D,1,Cucumber,Cucumis sativus,P76D01,leaf,WI7769_F2:3_076,Sire98,Dam98,Farm52,Sunny,Josue,Green
76,E,1,Cucumber,Cucumis sativus,P76E01,leaf,WI7769_F2:3_103,Sire99,Dam99,Farm53,Sunny,Josue,Blue
76,F,1,Cucumber,Cucumis sativus,P76F01,leaf,WI7769_F2:3_126,Sire100,Dam100,Farm54,Sunny,Josue,Yellow
76,G,1,Cucumber,Cucumis sativus,P76G01,leaf,WI7769_F2:3_211,Sire101,Dam101,Farm55,Sunny,Josue,Green
76,H,1,Cucumber,Cucumis sativus,P76H01,leaf,WI7769_F2:3_228,Sire102,Dam102,Farm56,Sunny,Josue,Blue
76,A,2,Cucumber,Cucumis sativus,P76A02,leaf,WI7769 F1,Sire103,Dam103,Farm57,Sunny,Josue,Yellow
76,B,2,Cucumber,Cucumis sativus,P76B02,leaf,WI7769_F2:3_026,Sire104,Dam104,Farm58,Sunny,Josue,Green
76,C,2,Cucumber,Cucumis sativus,P76C02,leaf,WI7769_F2:3_049,Sire105,Dam105,Farm59,Sunny,Josue,Blue
76,D,2,Cucumber,Cucumis sativus,P76D02,leaf,WI7769_F2:3_078,Sire106,Dam106,Farm60,Sunny,Josue,Yellow
76,E,2,Cucumber,Cucumis sativus,P76E02,leaf,WI7769_F2:3_104,Sire107,Dam107,Farm61,Sunny,Josue,Green
76,F,2,Cucumber,Cucumis sativus,P76F02,leaf,WI7769_F2:3_127,Sire108,Dam108,Farm62,Sunny,Josue,Blue
76,G,2,Cucumber,Cucumis sativus,P76G02,leaf,WI7769_F2:3_212,Sire109,Dam109,Farm63,Sunny,Josue,Yellow
76,H,2,Cucumber,Cucumis sativus,P76H02,leaf,WI7769_F2:3_230,Sire110,Dam110,Farm64,Sunny,Josue,Green
76,A,3,Cucumber,Cucumis sativus,P76A03,leaf,PT108-1,Sire111,Dam111,Farm65,Sunny,Josue,Blue
76,B,3,Cucumber,Cucumis sativus,P76B03,leaf,WI7769_F2:3_028,Sire112,Dam112,Farm66,Sunny,Josue,Yellow
76,C,3,Cucumber,Cucumis sativus,P76C03,leaf,WI7769_F2:3_051,Sire113,Dam113,Farm67,Sunny,Josue,Green
76,D,3,Cucumber,Cucumis sativus,P76D03,leaf,WI7769_F2:3_079,Sire114,Dam114,Farm68,Sunny,Josue,Blue
76,E,3,Cucumber,Cucumis sativus,P76E03,leaf,WI7769_F2:3_105,Sire115,Dam115,Farm69,Sunny,Josue,Yellow
76,F,3,Cucumber,Cucumis sativus,P76F03,leaf,WI7769_F2:3_128,Sire116,Dam116,Farm70,Sunny,Josue,Green
76,G,3,Cucumber,Cucumis sativus,P76G03,leaf,WI7769_F2:3_215,Sire117,Dam117,Farm71,Sunny,Josue,Blue
76,H,3,Cucumber,Cucumis sativus,P76H03,leaf,WI7769_F2:3_232,Sire118,Dam118,Farm72,Sunny,Josue,Yellow
76,A,4,Cucumber,Cucumis sativus,P76A04,leaf,WI7769_F2:3_001,Sire119,Dam119,Farm73,Sunny,Josue,Green
76,B,4,Cucumber,Cucumis sativus,P76B04,leaf,WI7769_F2:3_030,Sire120,Dam120,Farm74,Sunny,Josue,Blue
76,C,4,Cucumber,Cucumis sativus,P76C04,leaf,WI7769_F2:3_054,Sire121,Dam121,Farm75,Sunny,Josue,Yellow
76,D,4,Cucumber,Cucumis sativus,P76D04,leaf,WI7769_F2:3_087,Sire122,Dam122,Farm76,Sunny,Josue,Green
76,E,4,Cucumber,Cucumis sativus,P76E04,leaf,WI7769_F2:3_107,Sire123,Dam123,Farm77,Sunny,Josue,Blue
76,F,4,Cucumber,Cucumis sativus,P76F04,leaf,WI7769_F2:3_129,Sire124,Dam124,Farm78,Sunny,Josue,Yellow
76,G,4,Cucumber,Cucumis sativus,P76G04,leaf,WI7769_F2:3_217,Sire125,Dam125,Farm79,Sunny,Josue,Green
76,H,4,Cucumber,Cucumis sativus,P76H04,leaf,WI7769_F2:3_233,Sire126,Dam126,Farm80,Sunny,Josue,Blue
76,A,5,Cucumber,Cucumis sativus,P76A05,leaf,WI7769_F2:3_002,Sire127,Dam127,Farm81,Sunny,Josue,Yellow
76,B,5,Cucumber,Cucumis sativus,P76B05,leaf,WI7769_F2:3_034,Sire128,Dam128,Farm82,Sunny,Josue,Green
76,C,5,Cucumber,Cucumis sativus,P76C05,leaf,WI7769_F2:3_055,Sire129,Dam129,Farm83,Sunny,Josue,Blue
76,D,5,Cucumber,Cucumis sativus,P76D05,leaf,WI7769_F2:3_090,Sire130,Dam130,Farm84,Sunny,Josue,Yellow
76,E,5,Cucumber,Cucumis sativus,P76E05,leaf,WI7769_F2:3_109,Sire131,Dam131,Farm85,Sunny,Josue,Green
76,F,5,Cucumber,Cucumis sativus,P76F05,leaf,WI7769_F2:3_131,Sire132,Dam132,Farm86,Sunny,Josue,Blue
76,G,5,Cucumber,Cucumis sativus,P76G05,leaf,WI7769_F2:3_218,Sire133,Dam133,Farm87,Sunny,Josue,Yellow
76,H,5,Cucumber,Cucumis sativus,P76H05,leaf,WI7769_F2:3_234,Sire134,Dam134,Farm88,Sunny,Josue,Green
76,A,6,Cucumber,Cucumis sativus,P76A06,leaf,WI7769_F2:3_004,Sire135,Dam135,Farm89,Sunny,Josue,Blue
76,B,6,Cucumber,Cucumis sativus,P76B06,leaf,WI7769_F2:3_035,Sire136,Dam136,Farm90,Sunny,Josue,Yellow
76,C,6,Cucumber,Cucumis sativus,P76C06,leaf,WI7769_F2:3_056,Sire137,Dam137,Farm91,Sunny,Josue,Green
76,D,6,Cucumber,Cucumis sativus,P76D06,leaf,WI7769_F2:3_094,Sire138,Dam138,Farm92,Sunny,Josue,Blue
76,E,6,Cucumber,Cucumis sativus,P76E06,leaf,WI7769_F2:3_111,Sire139,Dam139,Farm93,Sunny,Josue,Yellow
76,F,6,Cucumber,Cucumis sativus,P76F06,leaf,WI7769_F2:3_132,Sire140,Dam140,Farm94,Sunny,Josue,Green
76,G,6,Cucumber,Cucumis sativus,P76G06,leaf,WI7769_F2:3_220,Sire141,Dam141,Farm95,Sunny,Josue,Blue
76,H,6,Cucumber,Cucumis sativus,P76H06,leaf,WI7769_F2:3_235,Sire142,Dam142,Farm96,Sunny,Josue,Yellow
76,A,7,Cucumber,Cucumis sativus,P76A07,leaf,WI7769_F2:3_005,Sire143,Dam143,Farm97,Sunny,Josue,Green
76,B,7,Cucumber,Cucumis sativus,P76B07,leaf,WI7769_F2:3_036,Sire144,Dam144,Farm98,Sunny,Josue,Blue
76,C,7,Cucumber,Cucumis sativus,P76C07,leaf,WI7769_F2:3_060,Sire145,Dam145,Farm99,Sunny,Josue,Yellow
76,D,7,Cucumber,Cucumis sativus,P76D07,leaf,WI7769_F2:3_095,Sire146,Dam146,Farm100,Sunny,Josue,Green
76,E,7,Cucumber,Cucumis sativus,P76E07,leaf,WI7769_F2:3_113,Sire147,Dam147,Farm101,Sunny,Josue,Blue
76,F,7,Cucumber,Cucumis sativus,P76F07,leaf,WI7769_F2:3_135,Sire148,Dam148,Farm102,Sunny,Josue,Yellow
76,G,7,Cucumber,Cucumis sativus,P76G07,leaf,WI7769_F2:3_221,Sire149,Dam149,Farm103,Sunny,Josue,Green
76,H,7,Cucumber,Cucumis sativus,P76H07,leaf,WI7769_F2:3_237,Sire150,Dam150,Farm104,Sunny,Josue,Blue
76,A,8,Cucumber,Cucumis sativus,P76A08,leaf,WI7769_F2:3_012,Sire151,Dam151,Farm105,Sunny,Josue,Yellow
76,B,8,Cucumber,Cucumis sativus,P76B08,leaf,WI7769_F2:3_037,Sire152,Dam152,Farm106,Sunny,Josue,Green
76,C,8,Cucumber,Cucumis sativus,P76C08,leaf,WI7769_F2:3_061,Sire153,Dam153,Farm107,Sunny,Josue,Blue
76,D,8,Cucumber,Cucumis sativus,P76D08,leaf,WI7769_F2:3_096,Sire154,Dam154,Farm108,Sunny,Josue,Yellow
76,E,8,Cucumber,Cucumis sativus,P76E08,leaf,WI7769_F2:3_114,Sire155,Dam155,Farm109,Sunny,Josue,Green
76,F,8,Cucumber,Cucumis sativus,P76F08,leaf,WI7769_F2:3_136,Sire156,Dam156,Farm110,Sunny,Josue,Blue
76,G,8,Cucumber,Cucumis sativus,P76G08,leaf,WI7769_F2:3_222,Sire157,Dam157,Farm111,Sunny,Josue,Yellow
76,H,8,Cucumber,Cucumis sativus,P76H08,leaf,WI7769_F2:3_239,Sire158,Dam158,Farm112,Sunny,Josue,Green
76,A,9,Cucumber,Cucumis sativus,P76A09,leaf,WI7769_F2:3_015,Sire159,Dam159,Farm113,Sunny,Josue,Blue
